Fund,Department,Division,Account,Amount,Annotation
General Fund,Public Works Department,Engineering Services Division,Radio Charges,78.44000000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-273.0799999999999, 
General Fund,Public Works Department,Engineering Services Division,Cellular Usage,431.57000000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Mileage Reimbursement,1225.0, 
General Fund,Public Works Department,Engineering Services Division,Telephone,290.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-260.9200000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Licenses Taxes & Fees,-1768.1799999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Bank Fees,-225.71000000000004, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Materials,-4307.529999999999, 
General Fund,Economic Development Departmen,Economic Development Division,Legal Services,5977.75, 
General Fund,Economic Development Departmen,Economic Development Division,Professional Services,-2550.0, 
General Fund,Economic Development Departmen,Economic Development Division,Rental/Lease,47030.07, 
General Fund,Fire & Rescue Department,Emergency Response Division,Group Insurance Expense,-40286.080000000075, 
General Fund,Economic Development Departmen,Economic Development Division,Contracted Services,140271.32, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Intangible Assets- Depr,9861.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Natural Gas,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Telephone,26.65000000000009, 
General Fund,Police Department,Police Administration Division,Materials,969.75, 
General Fund,Administration Services Dept,Administration,Employer - LGERS,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Long Distance,0.0, 
General Fund,Administration Services Dept,Administration,FICA Tax Expense,0.0, 
General Fund,Human Resources Department,Organizational Development,Professional Services,0.0, 
General Fund,Human Resources Department,Organizational Development,Contracted Services,1200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,-22.480000000000018, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Pager Service,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Electricity,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Private Donations,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-2288.21, 
General Fund,Administration Services Dept,Administration,Employer - 401(K),0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,-3317.39, 
General Fund,Transportation Department,Traffic Engineering Division,Training,603.72, 
General Fund,Economic Development Departmen,Economic Development Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-3148.54, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,681.2600000000002, 
General Fund,Finance Department,Accounting Division,Mach & Equipment,0.0, 
General Fund,Administration Services Dept,Administration,Vehicle Allowance,0.0, 
General Fund,Administration Services Dept,Administration,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Materials,-6518.190000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sewer,0.0, 
General Fund,Public Works Department,Public Works Administration,Fleet Maintenance Charges,-3569.02, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Public Works Department,Public Works Administration,Fleet Fuel Charges,-248.26, 
General Fund,Planning & Development Dept,Historic Resources Division,Compensation - Part Time,6220.02, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages,0.0, 
General Fund,Police Department,Criminal Investigations Div,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages-PB,-70562.0, 
General Fund,Public Works Department,Public Works Administration,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Non-Resident Fees,0.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Compensation - Full Time Reg,2094.730000000003, 
General Fund,Administration Services Dept,Building Maintenance,Materials,-4934.34, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,30.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Other Miscellaneous Revenue,65857.5, 
General Fund,Fire & Rescue Department,Emergency Response Division,Maint & Repair - Equipment,1850.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Maintenance and Repairs,-8470.720000000001, 
General Fund,Fire & Rescue Department,Emergency Response Division,Maint & Repair - Buildings,0.0, 
General Fund,Finance Department,Accounting Division,Heavy Equipment Rental Tax,100390.02, 
General Fund,Finance Department,Accounting Division,Vehicle Rental Tax,-78013.58000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,-200.0, 
General Fund,Administration Services Dept,Building Maintenance,Rent - Indoor Farmers Market,0.0, 
General Fund,Public Works Department,Public Works Administration,Compensation - Overtime,5107.860000000001, 
General Fund,Public Works Department,Public Works Administration,Compensation - Full Time Reg,14817.82, 
General Fund,Police Department,Criminal Investigations Div,Fleet Fuel Charges,-13.710000000006403, 
General Fund,Finance Department,Risk Management Division,Licenses Taxes & Fees,850.0, 
General Fund,Police Department,Criminal Investigations Div,Fleet Maintenance Charges,16465.08, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Oper Transfers Grant Fund,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Fleet Ext Agency Ch,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,FICA Tax Expense,16729.0, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Fleet Parts,157921.75, 
General Fund,Administration Services Dept,City Manager,Services - Postage,969.32, 
General Fund,Building Safety Department,Permitting & Inspections Div,Employer - LGERS,15635.89, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Uniforms,9838.810000000001, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Safety Equipment,-1518.9899999999998, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maint & Repair - Equipment,1273.01, 
General Fund,Building Safety Department,Permitting & Inspections Div,Employer - 401(K),11518.64, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Other,-1564.5600000000013, 
General Fund,Administration Services Dept,City Manager,Supplies - Books/Audio Visual,-200.42, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,277.82000000000005, 
General Fund,Administration Services Dept,City Manager,Supplies - Other,-2626.6499999999996, 
General Fund,Public Works Department,Public Works Administration,Fleet Fuel Charges,176.27999999999997, 
General Fund,Public Works Department,Public Works Administration,Fleet Maintenance Charges,-1231.49, 
General Fund,Public Works Department,Public Works Administration,Motor Pool Charges,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Nuisance Court,1947.3600000000006, 
General Fund,Non-Departmental Department,Non-Divisional,Contingencies,922995.0, 
General Fund,Economic Development Departmen,Economic Development Division,Moogfest support,0.0, 
General Fund,Public Works Department,Sanitation Division,Dues & Subscriptions,300.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Contra Fleet Charges,0.0, 
General Fund,Public Works Department,Sanitation Division,Training,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Sports Commission,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Supplies - Fleet Bench Stock,-5683.860000000001, 
General Fund,Building Safety Department,Permitting & Inspections Div,Group Insurance Expense,903.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Unemployment,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Vehicle Allowance,-5.579999999999927, 
General Fund,Building Safety Department,Permitting & Inspections Div,Phone Allowance,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Workers Compensation,49.0, 
General Fund,Transportation Department,Traffic Engineering Division,Materials - Sidewalks,0.0, 
General Fund,Public Works Department,Engineering Services Division,Contra Non-Labor - Powell Bill,-143618.0, 
General Fund,Administration Services Dept,Fleet Management Division,Services - Postage,3.280000000000001, 
General Fund,Public Works Department,Engineering Services Division,Contra Non-Labor,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Restrictd Intergv State Grants,33135.12, 
General Fund,Building Safety Department,Permitting & Inspections Div,OPEB Pension Contributions,0.0, 
General Fund,Finance Department,Accounting Division,Telephone,92.0, 
General Fund,Finance Department,Accounting Division,Long Distance,0.0, 
General Fund,Public Works Department,Engineering Services Division,Infrastructure,-5872.96, 
General Fund,Finance Department,Finance Administration,Loc Opt Sales Tx 1/2 Ct 1986,-258831.58999999985, 
General Fund,Transportation Department,Traffic Engineering Division,Materials,-228.40000000000146, 
General Fund,Economic Development Departmen,Economic Development Division,Economic Development Comm,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Insurance & Bonds,6595.0, 
General Fund,Administration Services Dept,Fleet Management Division,Insurance & Bonds,-32557.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bad Debts,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Licenses Taxes & Fees,73529.0, 
General Fund,Human Resources Department,Human Resources Administration,Other Miscellaneous Revenue,221.3, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Radio Charges,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Cellular Usage,-43.059999999999945, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Telephone,-260.0, 
General Fund,Non-Departmental Department,Non-Divisional,Other Expense,-51.0, 
General Fund,Information Technology Dept.,Technical Services Division,Phone Allowance,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Group Insurance Expense,-5663.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Information Technology Dept.,IT Administration Division,Mileage Reimbursement,1063.8, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Purchases for Resale,0.0, 
General Fund,Administration Services Dept,Sustainability Division,Quality of Serv Award,1033.0, 
General Fund,Police Department,Police Support Division,FICA Tax Expense,11796.710000000006, 
General Fund,Police Department,Police Support Division,Employer - Police 401(K),8456.470000000001, 
General Fund,Police Department,Police Support Division,Employer - LGERS,6827.679999999993, 
General Fund,Police Department,Police Support Division,Employer - 401(K),-949.5899999999965, 
General Fund,Information Technology Dept.,Technical Services Division,Employer - LGERS,7353.290000000001, 
General Fund,Administration Services Dept,Sustainability Division,Other Capital Outlay,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Employer - 401(K),5349.5, 
General Fund,Information Technology Dept.,Technical Services Division,FICA Tax Expense,10604.55, 
General Fund,Transportation Department,Transportation Planning Div,Other Miscellaneous Revenue,0.0, 
General Fund,Transportation Department,Transportation Planning Div,Contracted Services,40444.28, 
General Fund,Transportation Department,Transportation Planning Div,Rental/Lease,0.0, 
General Fund,Administration Services Dept,City Clerk Division,Dues & Subscriptions,-100.0, 
General Fund,Administration Services Dept,City Clerk Division,Training,1384.96, 
General Fund,Transportation Department,Transportation Planning Div,Telephone,0.0, 
General Fund,Transportation Department,Transportation Planning Div,Cellular Usage,78.95, 
General Fund,Information Technology Dept.,Technical Services Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Admission Fees,-775.4500000000007, 
General Fund,Civic Center Department,Civic Center Capital Division,Transfer to Civic Center Cap,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - McCormick Field,58368.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Facilities,0.0, 
